opp,pos,games,fp_avg,pass_yds_avg,rush_yds_avg,rec_avg,rec_yds_avg,tgt_avg,td_avg,season,opp_nick,rank
JAX,WR,9,6.544444444444444,0.0,3.4444444444444446,2.2222222222222223,35.333333333333336,3.4444444444444446,0.1111111111111111,2026,Jaguars,17
NE,WR,9,6.2555555555555555,0.0,0.0,2.7777777777777777,28.11111111111111,4.555555555555555,0.1111111111111111,2026,Patriots,18
BAL,WR,10,6.25,0.0,0.0,2.7,29.5,3.7,0.1,2026,Ravens,19
DAL,WR,10,6.029999999999999,0.0,0.0,2.4,26.3,4.0,0.2,2026,Cowboys,20
PHI,WR,10,5.87,0.0,0.0,1.9,27.7,3.1,0.2,2026,Eagles,21
CAR,WR,10,5.85,0.0,0.0,2.6,28.5,3.5,0.1,2026,Panthers,22
CIN,WR,9,5.544444444444444,0.0,1.3333333333333333,2.3333333333333335,30.77777777777778,4.444444444444445,0.0,2026,Bengals,23
TB,WR,9,5.533333333333333,0.0,0.4444444444444444,2.2222222222222223,26.0,3.2222222222222223,0.1111111111111111,2026,Buccaneers,24
NYJ,WR,10,5.43,0.0,0.0,2.2,20.3,3.8,0.2,2026,Jets,25
SF,WR,9,5.233333333333333,0.0,0.4444444444444444,1.7777777777777777,27.444444444444443,3.0,0.1111111111111111,2026,49ers,26
LV,WR,9,4.633333333333334,0.0,0.7777777777777778,1.6666666666666667,31.11111111111111,3.7777777777777777,0.0,2026,Raiders,27
MIA,WR,11,4.236363636363636,0.0,-0.36363636363636365,1.7272727272727273,20.0,2.4545454545454546,0.09090909090909091,2026,Dolphins,28
DEN,WR,10,4.2299999999999995,0.0,0.0,1.6,20.3,3.1,0.1,2026,Broncos,29
KC,WR,11,3.7545454545454544,0.0,1.7272727272727273,1.7272727272727273,18.545454545454547,3.0,0.0,2026,Chiefs,30
PIT,WR,10,3.1,0.0,0.6,1.2,18.4,1.9,0.0,2026,Steelers,31
SEA,WR,10,2.86,0.0,0.0,1.6,12.6,3.0,0.0,2026,Seahawks,32
