season,week,player,team,position,team_dropbacks,routes,route_pct,targets
2026,2,Alec Pierce,IND,WR,33,8.6,0.26,0
2026,2,Andrew Ogletree,IND,TE,33,9.6,0.29,0
2026,2,Anthony Gould,IND,WR,33,0.0,0.0,0
2026,2,Daniel Jones,IND,QB,33,33.0,1.0,0
2026,2,Deion Burks,IND,WR,33,1.7,0.05,0
2026,2,Jonathan Taylor,IND,RB,33,31.0,0.94,0
2026,2,Josh Downs,IND,WR,33,27.4,0.83,0
2026,2,Keenan Allen,IND,WR,33,16.8,0.51,0
2026,2,Laquon Treadwell,IND,WR,33,24.4,0.74,0
2026,2,Mo Alie-Cox,IND,TE,33,12.5,0.38,0
2026,2,Seth McGowan,IND,RB,33,2.0,0.06,0
2026,2,Tyler Warren,IND,TE,33,29.4,0.89,0
2026,2,Ameer Abdullah,JAX,RB,31,3.1,0.1,0
2026,2,Bhayshul Tuten,JAX,RB,31,15.8,0.51,0
2026,2,Brenton Strange,JAX,TE,31,25.7,0.83,0
2026,2,Brian Thomas,JAX,WR,31,16.7,0.54,0
2026,2,Chris Rodriguez,JAX,RB,31,6.8,0.22,0
2026,2,Jakobi Meyers,JAX,WR,31,27.9,0.9,0
2026,2,Josh Cameron,JAX,WR,31,5.3,0.17,0
2026,2,LeQuint Allen,JAX,RB,31,4.6,0.15,0
2026,2,Nate Boerkircher,JAX,TE,31,12.1,0.39,0
2026,2,Parker Washington,JAX,WR,31,25.1,0.81,0
2026,2,Quintin Morris,JAX,TE,31,6.8,0.22,0
2026,2,Travis Hunter,JAX,WR,31,3.1,0.1,0
2026,2,Trevor Lawrence,JAX,QB,31,31.0,1.0,0
2026,2,Ben VanSumeren,KC,FB,51,0.0,0.0,0
2026,2,Brashard Smith,KC,RB,51,0.0,0.0,0
2026,2,Cyrus Allen,KC,WR,51,2.0,0.04,0
2026,2,Emmett Johnson,KC,RB,51,9.2,0.18,0
2026,2,Jake Briningstool,KC,TE,51,6.1,0.12,0
2026,2,Jalen Royals,KC,WR,51,7.6,0.15,0
2026,2,Kenneth Walker III,KC,RB,51,41.8,0.82,0
2026,2,Nikko Remigio,KC,WR,51,0.0,0.0,0
2026,2,Noah Gray,KC,TE,51,25.5,0.5,0
2026,2,Patrick Mahomes,KC,QB,51,51.0,1.0,0
2026,2,Rashee Rice,KC,WR,51,40.3,0.79,0
2026,2,Travis Kelce,KC,TE,51,43.4,0.85,0
2026,2,Tyquan Thornton,KC,WR,51,30.1,0.59,0
2026,2,Xavier Worthy,KC,WR,51,43.9,0.86,0
2026,2,Blake Corum,LA,RB,33,14.8,0.45,0
2026,2,Colby Parkinson,LA,TE,33,23.4,0.71,0
2026,2,Davante Adams,LA,WR,33,21.4,0.65,0
2026,2,Davis Allen,LA,TE,33,17.2,0.52,0
2026,2,Konata Mumpfield,LA,WR,33,22.8,0.69,0
2026,2,Kyren Williams,LA,RB,33,18.2,0.55,0
2026,2,Matthew Stafford,LA,QB,33,33.0,1.0,0
2026,2,Max Klare,LA,TE,33,0.0,0.0,0
2026,2,Ronnie Rivers,LA,RB,33,0.0,0.0,0
2026,2,Terrance Ferguson,LA,TE,33,19.1,0.58,0
2026,2,Tutu Atwell,LA,WR,33,5.9,0.18,0
2026,2,Tyler Higbee,LA,TE,33,8.6,0.26,0
2026,2,Xavier Smith,LA,WR,33,13.9,0.42,0
2026,2,Alec Ingold,LAC,FB,31,12.7,0.41,0
2026,2,Brenen Thompson,LAC,WR,31,5.6,0.18,0
2026,2,Charlie Kolar,LAC,TE,31,19.2,0.62,0
2026,2,David Njoku,LAC,TE,31,5.0,0.16,0
2026,2,Derius Davis,LAC,WR,31,3.7,0.12,0
2026,2,Gary Jennings Jr,LAC,WR,31,0.0,0.0,0
2026,2,Justin Herbert,LAC,QB,31,31.0,1.0,0
2026,2,Keaton Mitchell,LAC,RB,31,7.8,0.25,0
2026,2,Kimani Vidal,LAC,RB,31,3.1,0.1,0
2026,2,Ladd McConkey,LAC,WR,31,14.3,0.46,0
2026,2,Omarion Hampton,LAC,RB,31,19.5,0.63,0
2026,2,Oronde Gadsden II,LAC,TE,31,13.6,0.44,0
2026,2,Quentin Johnston,LAC,WR,31,25.1,0.81,0
2026,2,Tre Harris,LAC,WR,31,25.4,0.82,0
2026,2,Ashton Jeanty,LV,RB,32,25.9,0.81,0
2026,2,Chris Myarick,LV,TE,32,1.6,0.05,0
2026,2,Cody White,LV,WR,32,3.5,0.11,0
2026,2,Connor Heyward,LV,FB,32,9.6,0.3,0
2026,2,Dareke Young,LV,WR,32,6.1,0.19,0
2026,2,Dylan Laube,LV,RB,32,4.2,0.13,0
2026,2,Ian Thomas,LV,TE,32,15.7,0.49,0
2026,2,Jack Bech,LV,WR,32,17.3,0.54,0
2026,2,Jalen Nailor,LV,WR,32,19.2,0.6,0
2026,2,Kirk Cousins,LV,QB,32,32.0,1.0,0
