article_id,source,headline,description,published,web_url,athlete_ids,team_ids,pulled_at
4f888679-0cc7-43d7-8ff0-944eb7456ade,cbs_rss,Giants' Cam Skattebo addresses viral video of epic arrival to MetLife ahead of SNF,Skattebo is back and has arrived in style,"Fri, 18 Sep 2026 16:42:18 +0000",https://www.cbssports.com/nfl/news/giants-cam-skattebo-makes-epic-arrival-to-metlife-snf/,,,2026-09-20T01:03:58Z
39c5aad6-8fa4-4a04-b25f-5ef2356fdc1f,cbs_rss,Rams' nightmare trip: Sean McVay doesn't want to play in Australia ever again after ugly Week 1 plan backfired,The Rams arrived in Melbourne one day before their Week 1 game and suffered a 27-7 loss to the 49ers,"Fri, 18 Sep 2026 15:12:51 +0000",https://www.cbssports.com/nfl/news/sean-mcvay-rams-nfl-games-in-australia/,,,2026-09-20T01:03:58Z
1e8e0ee5-a3a1-4dab-9afc-7a0f25025a5e,cbs_rss,Aaron Donald return: Cam Skattebo issues blunt message to Rams star defender ahead of 'MNF' matchup,"Skattebo told the Rams star to be ready and praised Donald, who is set to make his re-debut with the Rams in Week 2 after coming out of retirement","Fri, 18 Sep 2026 14:56:28 +0000",https://www.cbssports.com/nfl/news/aaron-donald-return-cam-skattebo-issues-message-to-rams/,,,2026-09-20T01:03:58Z
a41b668b-23ad-4b5d-a981-ac8c6058094e,cbs_rss,"NFL Week 2 best bets: Rams bounce back vs. Giants, Jordan Love has another big day","Plus, the tough start in Tennessee continues","Fri, 18 Sep 2026 14:51:04 +0000",https://www.cbssports.com/nfl/news/nfl-week-2-best-bets-odds-rams-giants-jordan-love-packers/,,,2026-09-20T01:03:58Z
b41aa4c6-d1ef-492e-8f70-529a53094f1b,cbs_rss,Why the NFL MVP award is already Josh Allen's to lose after Bills QB's white-hot start to season,Allen is already a sizable betting favorite to win the NFL MVP at +260 on FanDuel Sportsbook,"Fri, 18 Sep 2026 14:30:47 +0000",https://www.cbssports.com/nfl/news/why-the-nfl-mvp-award-is-already-josh-allens-to-lose-bills/,,,2026-09-20T01:03:58Z
c088eebf-5f35-438a-8ae3-ecccfe454e77,cbs_rss,Jaguars vs. Broncos: Jacksonville aims for 10th consecutive regular-season win,Denver must bounce back from its Week 1 struggles in order to contain the scalding-hot Jaguars,"Sat, 19 Sep 2026 18:20:00 +0000",https://www.cbssports.com/nfl/news/how-to-watch-jaguars-vs-broncos-preview-prediction/,,,2026-09-20T01:03:58Z
0b7443fc-2e4c-470c-aa0e-bb06ee643166,cbs_rss,Is Derrick Henry the best RB of all-time? Where he stands among NFL's top-10 running backs,Henry's career matches up with the best players ever at his position,"Fri, 18 Sep 2026 13:57:44 +0000",https://www.cbssports.com/nfl/news/where-derrick-henry-currently-ranks-among-the-nfl-running-backs/,,,2026-09-20T01:03:58Z
253bdff2-f05b-45ef-98fb-9e30fb7ff0cc,cbs_rss,"With Browns QB situation in the gutter, ex-Baker Mayfield on deck, what is their plan?","Cleveland is in the final year of the albatross that is Deshaun Watson's five-year, fully-guaranteed $230 million contract","Fri, 18 Sep 2026 13:50:57 +0000",https://www.cbssports.com/nfl/news/what-is-browns-qb-plan-deshaun-watson-baker-mayfield/,,,2026-09-20T01:03:58Z
5e29eea5-a36b-47c2-becd-37e3ce87e364,cbs_rss,"NFL Week 2 odds, picks, best bets: Eagles take over Nashville, while Baker Mayfield wins big in revenge game",Jordan Dajani gives his picks for Week 2 of the 2026 NFL season,"Fri, 18 Sep 2026 13:43:49 +0000",https://www.cbssports.com/nfl/news/nfl-week-2-odds-picks-best-bets-dajani/,,,2026-09-20T01:03:58Z
bbf11261-8caf-46ae-95e7-4e7af17179ef,cbs_rss,"Will Brinson's NFL Week 2 predictions and picks: Best bets, player props, anytime TD scorers for Sunday",Throw out what happened in the opening slate and capitalize on early overreactions with top spread picks and bounce-back opportunities for Week 2,"Fri, 18 Sep 2026 15:31:11 +0000",https://www.cbssports.com/betting/news/will-brinsons-nfl-week-2-predictions-and-picks-best-bets-player-props-anytime-td-scorers-for-sunday/,,,2026-09-20T01:03:58Z
